structure,flexRes,avgRotamers,maxRotamers,cutoff,avgDegree,treewidthBound,log10DPcost
1CRN,32,74,492,4,3.7,4,9
1CRN,32,74,492,5,5.7,6,13
1CRN,32,74,492,6,7.0,8,17
1CRN,32,74,492,8,13.0,14,28
1CRN,32,74,492,12,20.9,19,37
1UBQ,64,149,492,4,4.8,10,24
1UBQ,64,149,492,5,6.9,13,30
1UBQ,64,149,492,6,9.4,17,39
1UBQ,64,149,492,8,16.8,27,61
1UBQ,64,149,492,12,32.3,39,87
2LZM,134,152,492,4,5.1,14,33
2LZM,134,152,492,5,7.1,23,52
2LZM,134,152,492,6,9.2,23,52
2LZM,134,152,492,8,17.2,38,85
2LZM,134,152,492,12,35.0,56,124
1AKE,324,157,492,4,4.8,12,29
1AKE,324,157,492,5,6.7,26,59
1AKE,324,157,492,6,9.1,37,83
1AKE,324,157,492,8,17.3,48,108
1AKE,324,157,492,12,36.6,82,182
