protein,sweeps,seed,endE,wall_s
1CRN,1,1,510.9760,0.001
1CRN,1,2,510.9760,0.001
1CRN,1,3,510.3310,0.001
1CRN,2,1,510.9760,0.001
1CRN,2,2,510.9760,0.001
1CRN,2,3,510.3310,0.002
1CRN,5,1,510.9760,0.002
1CRN,5,2,510.9760,0.002
1CRN,5,3,510.3310,0.002
1CRN,10,1,508.2630,0.003
1CRN,10,2,496.5330,0.004
1CRN,10,3,510.3310,0.004
1CRN,20,1,508.2630,0.006
1CRN,20,2,494.7770,0.006
1CRN,20,3,510.3310,0.006
1CRN,50,1,502.1840,0.013
1CRN,50,2,494.6980,0.014
1CRN,50,3,508.1310,0.013
1CRN,100,1,497.1510,0.026
1CRN,100,2,493.6020,0.026
1CRN,100,3,505.5920,0.026
1CRN,200,1,478.3570,0.051
1CRN,200,2,481.8630,0.052
1CRN,200,3,493.2750,0.051
1CRN,500,1,464.6810,0.126
1CRN,500,2,454.6900,0.129
1CRN,500,3,464.2250,0.126
1CRN,1000,1,436.7560,0.250
1CRN,1000,2,435.3660,0.253
1CRN,1000,3,447.5560,0.250
1CRN,2000,1,422.5930,0.499
1CRN,2000,2,431.0060,0.497
1CRN,2000,3,431.8430,0.500
1CRN,4000,1,415.5450,1.002
1CRN,4000,2,417.8560,0.999
1CRN,4000,3,408.1250,1.003
1CRN,8000,1,408.6520,2.006
1CRN,8000,2,413.7520,1.996
1CRN,8000,3,399.1320,2.012
1UBQ,1,1,1502.1400,0.002
1UBQ,1,2,1502.1400,0.002
1UBQ,1,3,1502.1400,0.002
1UBQ,2,1,1502.1400,0.002
1UBQ,2,2,1502.1400,0.002
1UBQ,2,3,1502.1400,0.002
1UBQ,5,1,1500.9400,0.003
1UBQ,5,2,1499.8700,0.003
1UBQ,5,3,1502.1400,0.003
1UBQ,10,1,1500.5200,0.005
1UBQ,10,2,1496.4100,0.005
1UBQ,10,3,1502.1400,0.005
1UBQ,20,1,1499.2900,0.008
1UBQ,20,2,1496.4100,0.008
1UBQ,20,3,1482.4600,0.008
1UBQ,50,1,749.5890,0.018
1UBQ,50,2,1490.3800,0.018
1UBQ,50,3,1145.0200,0.018
1UBQ,100,1,708.1820,0.035
1UBQ,100,2,615.0850,0.036
1UBQ,100,3,840.0630,0.035
1UBQ,200,1,566.8030,0.069
1UBQ,200,2,507.9900,0.069
1UBQ,200,3,824.0550,0.068
1UBQ,500,1,446.6310,0.168
1UBQ,500,2,459.4880,0.169
1UBQ,500,3,438.9670,0.170
1UBQ,1000,1,387.9650,0.335
1UBQ,1000,2,404.8250,0.335
1UBQ,1000,3,400.7080,0.338
1UBQ,2000,1,305.7150,0.705
1UBQ,2000,2,365.9320,0.664
1UBQ,2000,3,345.7540,0.667
1UBQ,4000,1,258.3430,1.332
1UBQ,4000,2,309.4490,1.333
1UBQ,4000,3,288.9770,1.336
1UBQ,8000,1,225.8700,2.651
1UBQ,8000,2,223.5980,2.675
1UBQ,8000,3,238.9730,2.668
1LYZ,1,1,1061270.0000,0.002
1LYZ,1,2,1061270.0000,0.003
1LYZ,1,3,1061270.0000,0.003
1LYZ,2,1,1061270.0000,0.003
1LYZ,2,2,1061270.0000,0.003
1LYZ,2,3,1061270.0000,0.003
1LYZ,5,1,1060800.0000,0.007
1LYZ,5,2,1061270.0000,0.005
1LYZ,5,3,1061270.0000,0.004
1LYZ,10,1,1060800.0000,0.007
1LYZ,10,2,1060910.0000,0.007
1LYZ,10,3,1061270.0000,0.007
1LYZ,20,1,95882.3000,0.012
1LYZ,20,2,1060860.0000,0.011
1LYZ,20,3,1060760.0000,0.011
1LYZ,50,1,95434.6000,0.025
1LYZ,50,2,156644.0000,0.025
1LYZ,50,3,1031040.0000,0.025
1LYZ,100,1,91917.7000,0.048
1LYZ,100,2,107002.0000,0.048
1LYZ,100,3,121678.0000,0.048
1LYZ,200,1,36373.7000,0.093
1LYZ,200,2,86207.8000,0.093
1LYZ,200,3,108861.0000,0.097
1LYZ,500,1,27623.8000,0.239
1LYZ,500,2,14878.4000,0.229
1LYZ,500,3,11315.2000,0.228
1LYZ,1000,1,14523.9000,0.454
1LYZ,1000,2,11556.2000,0.452
1LYZ,1000,3,5322.1000,0.450
1LYZ,2000,1,10277.7000,0.897
1LYZ,2000,2,11029.0000,0.897
1LYZ,2000,3,4592.3300,0.900
1LYZ,4000,1,9600.6500,1.775
1LYZ,4000,2,10535.9000,1.790
1LYZ,4000,3,4131.9700,1.781
1LYZ,8000,1,3882.4700,3.555
1LYZ,8000,2,4593.1200,3.550
1LYZ,8000,3,3892.8500,3.534
2LZM,1,1,1599.3400,0.004
2LZM,1,2,1599.3400,0.003
2LZM,1,3,1599.3400,0.003
2LZM,2,1,1599.3400,0.004
2LZM,2,2,1599.3400,0.004
